aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
202,321.8,112.3,22.3,141.3,94.67,49.5,Delhi,15
260,19.5,124.5,32.7,183.6,137.92,34.1,Delhi,14
197,937.0,104.9,5.6,132.5,90.5,40.0,Delhi,13
222,1244.6,101.2,63.8,146.4,109.9,35.2,Delhi,12
175,0.0,29.0,90.6,99.0,74.0,47.0,Delhi,11
199,44.6,74.6,96.9,128.9,92.42,29.3,Delhi,10
202,1145.0,80.6,109.4,125.6,94.24,33.9,Delhi,09
209,1120.1,85.6,97.5,134.0,100.04,37.5,Delhi,08
207,395.8,93.2,36.9,211.4,98.6,36.7,Delhi,07
151,40.4,102.8,41.7,215.5,151.6,49.3,Delhi,06
157,1145.0,67.3,35.8,210.0,157.29,51.7,Delhi,05
151,31.2,117.3,39.3,201.7,151.37,58.6,Delhi,04
256,710.5,207.0,2.9,281.0,135.5,26.0,Delhi,03
246,36.8,120.9,11.5,174.7,127.47,29.1,Delhi,02
208,564.5,128.5,1.7,141.0,99.0,16.0,Delhi,01
195,1472.1,95.6,20.7,118.8,89.25,26.8,Delhi,00
179,665.0,247.0,1.6,130.0,77.0,30.0,Delhi,23
196,34.3,96.5,20.1,120.9,89.98,30.6,Delhi,22
187,690.5,128.5,8.1,126.5,83.25,21.0,Delhi,21
221,28.0,104.4,17.8,145.5,109.17,29.1,Delhi,20
155,1532.0,248.0,1.7,203.5,59.5,20.0,Delhi,19
243,1789.1,120.6,9.5,167.5,125.75,25.0,Delhi,18
229,448.0,180.3,12.2,156.0,115.0,21.5,Delhi,17
229,5958.7,123.4,10.0,152.6,114.76,33.2,Delhi,16
194,25.5,227.5,17.1,114.7,88.33,13.0,Delhi,15
176,2955.7,116.8,21.1,99.5,74.87,22.6,Delhi,14
137,288.5,75.3,17.1,73.2,49.0,32.0,Delhi,13
146,830.1,61.7,58.4,69.7,52.36,20.5,Delhi,12
139,195.7,87.1,20.2,72.0,50.0,31.3,Delhi,11
153,7318.0,58.6,59.8,77.1,57.84,21.2,Delhi,10
116,232.0,200.0,5.0,57.0,41.5,24.0,Delhi,09
165,7175.3,61.9,57.7,89.3,66.98,23.8,Delhi,08
154,594.5,243.0,38.2,68.3,58.67,13.5,Delhi,07
184,1038.5,62.2,52.8,107.5,80.73,29.7,Delhi,06
159,524.0,190.0,3.2,85.0,62.0,22.0,Delhi,05
193,15.3,73.6,30.2,117.1,87.8,39.3,Delhi,04
190,381.7,48.7,22.3,114.0,85.67,40.5,Delhi,03
178,1219.7,72.8,13.4,102.0,76.67,33.5,Delhi,02
273,716.0,65.0,6.3,192.0,148.0,38.0,Delhi,01
167,1145.0,67.2,14.2,91.0,68.41,24.7,Delhi,00
243,541.3,109.7,13.9,158.7,125.33,43.5,Delhi,23
200,40.6,73.0,18.0,124.5,93.38,27.4,Delhi,22
212,752.3,161.3,4.0,139.5,102.25,39.0,Delhi,21
219,21.2,91.3,13.9,144.1,107.33,29.9,Delhi,20
201,1008.0,145.0,5.2,158.5,94.0,9.0,Delhi,19
226,1642.8,96.6,11.1,150.3,112.83,29.1,Delhi,18
210,418.0,141.7,12.0,129.5,100.75,26.0,Delhi,17
219,47.8,106.2,12.8,143.1,107.5,33.5,Delhi,16
236,1290.0,153.0,34.2,120.0,120.0,20.0,Delhi,15
187,14.9,93.4,22.1,111.1,83.29,31.8,Delhi,14
163,540.0,140.5,49.4,94.0,65.0,25.0,Delhi,13
176,1291.2,74.1,44.3,100.3,75.16,31.1,Delhi,12
112,73.3,2.3,121.7,58.9,39.67,28.3,Hyderabad,11
165,252.0,39.0,12.5,114.0,67.0,49.0,Hyderabad,10
181,68.3,1.0,135.0,98.8,79.0,31.0,Hyderabad,09
162,572.5,28.4,40.6,89.1,64.4,27.8,Hyderabad,08
205,840.6,25.9,68.9,121.3,97.0,30.4,Hyderabad,07
177,1226.8,38.3,35.9,108.9,75.86,30.1,Hyderabad,06
256,886.7,29.9,48.9,168.8,135.0,36.1,Hyderabad,05
188,1145.0,58.3,30.4,110.3,84.31,44.8,Hyderabad,04
235,206.6,13.0,75.0,148.8,119.0,48.0,Hyderabad,03
191,1585.4,52.2,12.8,112.3,85.93,22.0,Hyderabad,02
213,1125.8,38.2,33.2,128.8,103.0,29.4,Hyderabad,01
175,1585.4,50.8,12.4,102.5,74.23,20.1,Hyderabad,00
195,1154.4,46.2,19.2,111.3,89.0,32.7,Hyderabad,23
182,1240.4,47.2,12.2,105.1,79.15,30.0,Hyderabad,22
213,292.4,37.0,33.0,128.8,103.0,58.0,Hyderabad,21
189,981.4,51.4,17.0,114.1,84.8,23.4,Hyderabad,20
221,1271.8,44.3,22.7,136.3,109.0,35.9,Hyderabad,19
182,1761.5,48.0,17.5,109.0,79.54,24.9,Hyderabad,18
195,1089.0,258.0,2.9,184.0,89.0,44.0,Hyderabad,17
181,97.3,73.2,17.8,112.0,78.36,27.9,Hyderabad,16
195,857.0,226.0,3.0,184.0,89.0,75.0,Hyderabad,15
157,66.6,59.9,22.3,94.1,60.93,33.4,Hyderabad,14
148,1512.0,39.0,1.7,94.0,53.0,34.0,Hyderabad,13
147,968.8,40.6,30.9,77.7,52.69,24.0,Hyderabad,12
152,1240.0,40.0,3.9,96.0,57.0,34.0,Hyderabad,11
157,978.0,127.0,12.0,80.0,61.0,58.0,Hyderabad,10
161,90.5,44.8,30.1,93.2,63.62,23.1,Hyderabad,09
159,82.6,40.9,32.4,89.1,62.0,24.4,Hyderabad,08
163,968.0,39.0,13.0,88.0,65.0,39.0,Hyderabad,07
